Date,Close/Last,Volume,Open,High,Low
12/30/2016,$88.87,411463,$89.25,$89.60,$88.39
12/29/2016,$89.22,479031,$89.49,$89.85,$88.95
12/28/2016,$89.60,167466,$90.92,$90.92,$89.33
12/27/2016,$90.70,347976,$90.44,$91.20,$90.15
12/23/2016,$90.39,180603,$90.14,$90.44,$89.68
12/22/2016,$89.98,238474,$90.74,$90.77,$89.41
12/21/2016,$90.49,410897,$90.64,$90.68,$89.95
12/20/2016,$90.52,484818,$91.25,$91.54,$90.16
12/19/2016,$91.03,543281,$90.77,$91.30,$90.07
12/16/2016,$90.43,1213918,$90.53,$91.59,$90.01
12/15/2016,$90.55,773228,$90.26,$91.38,$89.10
12/14/2016,$90.55,465333,$91.71,$92.32,$90.51
12/13/2016,$92.10,728107,$92.53,$92.8799,$91.46
12/12/2016,$91.87,482179,$91.93,$92.44,$91.25
12/09/2016,$92.23,473351,$92.69,$92.73,$91.41
12/08/2016,$92.83,695006,$90.85,$92.93,$90.35
12/07/2016,$90.33,890067,$88.12,$90.35,$87.83
12/06/2016,$88.41,571263,$86.55,$88.43,$86.03
12/05/2016,$86.45,502484,$86.57,$87.52,$85.56
12/02/2016,$85.85,776091,$85.48,$86.15,$84.98
12/01/2016,$85.58,720731,$85.81,$86.315,$85.165
11/30/2016,$85.41,701572,$86.05,$86.38,$85.24
11/29/2016,$85.12,838636,$85.83,$86.32,$85.08
11/28/2016,$86.69,1183435,$87.32,$87.45,$85.905
11/25/2016,$87.72,485766,$87.44,$87.91,$87.00
11/23/2016,$87.25,420209,$86.95,$87.96,$86.82
11/22/2016,$86.86,647118,$86.25,$86.95,$85.57
11/21/2016,$85.84,740552,$86.02,$86.44,$84.89
11/18/2016,$85.43,704513,$86.23,$86.46,$85.21
11/17/2016,$86.42,799086,$86.00,$86.87,$85.70
11/16/2016,$85.93,1005586,$84.81,$86.12,$84.72
11/15/2016,$85.42,619964,$84.22,$85.43,$83.13
11/14/2016,$84.35,725117,$84.29,$85.82,$83.85
11/11/2016,$83.53,919160,$81.39,$83.64,$81.14
11/10/2016,$81.69,903291,$81.33,$82.76,$80.60
11/09/2016,$80.05,912367,$78.19,$80.38,$77.765
11/08/2016,$78.96,588248,$78.95,$79.67,$78.43
11/07/2016,$79.24,734655,$79.00,$79.82,$78.62
11/04/2016,$77.28,704782,$76.76,$78.27,$76.38
